N,P,K,temperature,humidity,ph,rainfall,label
83.97,46.81,41.3,26.17,82.27,6.13,287.38,rice
86.14,45.15,41.09,22.69,82.03,6.37,182.6,rice
66.2,44.69,37.97,24.05,81.59,5.54,283.97,rice
78.19,47.84,37.15,22.55,82.61,5.67,251.27,rice
75.19,46.04,38.8,26.74,82.49,5.72,264.68,rice
70.23,48.54,36.08,21.18,82.7,6.62,245.14,rice
79.07,45.99,37.04,22.24,82.04,6.78,250.31,rice
65.9,49.12,39.23,22.32,83.11,6.77,267.94,rice
73.29,45.95,40.66,25.21,82.02,6.16,206.81,rice
70.43,51.56,42.71,23.37,83.5,6.43,220.65,rice
82.89,55.19,39.93,26.24,79.88,6.66,242.61,rice
77.61,47.96,36.02,23.12,82.86,6.99,224.45,rice
73.53,44.99,41.83,24.08,81.97,6.51,242.91,rice
87.75,43.99,39.34,22.81,81.04,6.4,247.83,rice
80.04,46.33,37.17,22.76,82.16,5.85,235.16,rice
83.23,56.93,40.35,23.95,82.43,5.29,239.2,rice
80.48,59.82,39.62,24.03,82.47,5.67,274.28,rice
86.02,51.46,38.18,25.95,81.1,6.54,305.71,rice
72.08,44.67,40.2,22.62,80.95,6.28,208.13,rice
83.79,42.9,43.1,22.13,82.18,6.66,203.07,rice
81.82,54.04,36.79,23.82,82.76,6.64,202.89,rice
69.44,50.11,40.59,23.94,82.85,5.91,246.97,rice
82.34,43.93,43.73,24.33,81.31,6.58,210.76,rice
86.3,53.29,38.36,25.19,82.91,6.66,296.9,rice
78.04,43.73,38.22,22.07,82.42,6.42,248.3,rice
86.62,47.57,42.91,23.04,85.22,6.56,214.29,rice
71.43,49.91,39.55,24.75,82.97,6.21,214.6,rice
67.88,45.27,41.71,23.87,81.25,6.34,251.56,rice
72.93,48.27,40.12,21.5,82.86,6.53,272.49,rice
88.43,40.61,38.12,24.4,83.01,6.51,350.0,rice
84.57,53.18,41.91,24.64,82.18,6.63,216.82,rice
78.11,45.07,40.16,27.55,80.63,6.59,191.62,rice
76.22,52.94,40.13,21.61,81.78,6.59,218.09,rice
81.73,47.73,38.7,27.25,83.13,5.24,245.59,rice
74.71,51.76,38.41,23.3,83.0,6.68,203.99,rice
77.32,45.13,38.69,26.59,82.9,5.62,267.54,rice
96.98,52.66,36.96,22.65,83.77,5.9,253.31,rice
86.2,42.87,39.88,17.83,81.48,6.12,202.57,rice
93.06,40.35,39.12,23.73,83.94,5.53,274.89,rice
80.08,42.59,40.92,23.85,81.9,6.28,228.44,rice
80.91,50.81,43.17,21.33,84.63,5.27,235.45,rice
84.71,48.9,38.75,23.14,82.01,5.96,265.49,rice
82.86,44.04,41.8,24.04,83.31,6.56,215.13,rice
75.52,51.24,41.22,23.46,82.62,6.89,222.25,rice
84.38,46.49,39.56,25.42,83.33,6.66,279.16,rice
80.17,50.91,39.38,24.07,82.37,6.3,257.85,rice
73.45,57.96,37.99,21.38,83.66,6.65,258.72,rice
85.03,47.44,38.21,23.63,81.82,6.74,235.59,rice
73.4,45.89,40.83,22.51,81.68,6.37,247.35,rice
75.94,45.14,40.46,20.97,81.09,5.89,233.6,rice
82.49,54.88,41.72,23.22,82.48,5.75,239.44,rice
77.69,49.11,38.35,24.41,84.03,6.2,252.05,rice
85.52,45.49,40.45,23.52,82.6,5.86,240.74,rice
83.98,54.76,41.92,27.27,81.73,6.69,245.5,rice
97.52,43.46,38.32,22.45,80.38,5.99,217.23,rice
81.2,49.21,43.75,25.16,81.92,5.8,254.76,rice
69.44,56.66,42.36,22.68,80.79,6.93,236.56,rice
89.9,39.53,38.8,23.51,82.55,6.02,258.69,rice
71.46,46.79,40.24,24.4,83.21,5.69,193.98,rice
